Nombre de tabla;Nombre del campo;Tipo de dato;Longitud;Restricciones;Descripción;;;;
arqueo_caja;id_arqueo;INT;10;PK, NN, AI;Identificador único del arqueo;;;;
arqueo_caja;id_usuario;INT;10;FK -> usuarios(id_usuario), NN;FK: cajero que abre/cierra la caja;;;;
arqueo_caja;fecha_apertura;DATETIME;;NN;Momento de apertura de la caja;;;;
arqueo_caja;fecha_cierre;DATETIME;;;Momento de cierre (NULL = caja abierta);;;;
arqueo_caja;monto_inicial;DECIMAL;12,2;NN;Base con la que abre la caja;;;;
arqueo_caja;monto_final;DECIMAL;12,2;;Efectivo contado al cierre;;;;
arqueo_caja;total_ventas;DECIMAL;12,2;;Total vendido en el turno, todos los medios de pago (reportes);;;;
arqueo_caja;total_efectivo;DECIMAL;12,2;;Ventas pagadas en efectivo: lo unico que entra al cajon;;;;
arqueo_caja;diferencia;DECIMAL;12,2;GENERADA;Descuadre real: efectivo contado menos efectivo esperado;;;;
arqueo_caja;observacion;VARCHAR;255;;Notas del arqueo;;;;
carrito_chatbot;id_sesion;INT;10;PK, FK -> sesiones_chatbot(id_sesion), NN;FK: sesion de WhatsApp a la que pertenece;;;;
carrito_chatbot;codigo_producto;VARCHAR;20;PK, FK -> productos(codigo_producto), NN;FK: producto elegido por el cliente;;;;
carrito_chatbot;cantidad;INT;10;NN;Unidades elegidas;;;;
categorias;id_categoria;INT;10;PK, NN, AI;Identificador único de la categoría;;;;
categorias;nombre;VARCHAR;50;UNIQUE, NN;Nombre de la categoría (Lácteos, Abarrotes...);;;;
categorias;descripcion;VARCHAR;255;;Descripción opcional de la categoría;;;;
clientes;id_cliente;INT;10;PK, NN, AI;Identificador único del cliente;;;;
clientes;nombre;VARCHAR;100;NN;Nombre del cliente;;;;
clientes;telefono;VARCHAR;20;UNIQUE, NN;Teléfono (canal del ChatBot de WhatsApp);;;;
clientes;direccion;VARCHAR;150;;Dirección registrada del cliente;;;;
clientes;barrio;VARCHAR;50;;Barrio o sector;;;;
detalle_venta;id_detalle;INT;10;PK, NN, AI;Identificador único del renglón;;;;
detalle_venta;id_venta;INT;10;FK -> ventas(id_venta), NN;FK: venta a la que pertenece el renglón;;;;
detalle_venta;codigo_producto;VARCHAR;20;FK -> productos(codigo_producto), NN;FK: producto vendido;;;;
detalle_venta;cantidad;INT;10;NN;Unidades vendidas;;;;
detalle_venta;precio_venta;DECIMAL;10,2;NN;Precio histórico al momento de la venta;;;;
detalle_venta;subtotal;DECIMAL;12,2;GENERADA;Calculado por el motor: cantidad x precio;;;;
domicilios;id_domicilio;INT;10;PK, NN, AI;Identificador único del domicilio;;;;
domicilios;id_venta;INT;10;FK -> ventas(id_venta), UNIQUE, NN;FK única: venta que se despacha;;;;
domicilios;id_domiciliario;INT;10;FK -> usuarios(id_usuario);FK: usuario domiciliario asignado (NULL = sin asignar);;;;
domicilios;direccion_entrega;VARCHAR;150;NN;Dirección exacta de entrega;;;;
domicilios;barrio;VARCHAR;50;;Barrio o sector de entrega;;;;
domicilios;telefono_contacto;VARCHAR;20;NN;Teléfono de quien recibe;;;;
domicilios;estado;ENUM('pendiente','asignado','en_camino','entregado','cancelado');9;NN, DEFAULT pendiente;Estado del recorrido (CU22.2: inicia Pendiente);;;;
domicilios;fecha_asignacion;DATETIME;;;Momento en que se asignó el domiciliario;;;;
domicilios;fecha_entrega;DATETIME;;;Momento en que se entregó el pedido;;;;
domicilios;observacion;VARCHAR;255;;Notas del cliente o del ChatBot;;;;
log_auditoria;id_log;INT;10;PK, NN, AI;Identificador único del evento;;;;
log_auditoria;id_usuario;INT;10;FK -> usuarios(id_usuario);FK: usuario que ejecutó la acción (NULL = intento anónimo);;;;
log_auditoria;accion;VARCHAR;50;NN;Acción realizada: registrar, actualizar, eliminar, login...;;;;
log_auditoria;modulo;VARCHAR;30;NN;Módulo afectado: inventario, ventas, usuarios...;;;;
log_auditoria;detalle;VARCHAR;255;;Descripción del evento;;;;
log_auditoria;ip;VARCHAR;45;;Dirección IP de origen;;;;
log_auditoria;fecha;DATETIME;;NN, DEFAULT CURRENT_TIMESTAMP;Fecha y hora del evento;;;;
metodos_pago;id_metodo_pago;INT;10;PK, NN, AI;Identificador único del método de pago;;;;
metodos_pago;nombre;VARCHAR;30;UNIQUE, NN;Nombre: Efectivo, Nequi, Transferencia, Tarjeta;;;;
metodos_pago;activo;TINYINT;3;NN, DEFAULT 1;1=disponible para cobrar;;;;
movimientos_inventario;id_movimiento;INT;10;PK, NN, AI;Identificador único del movimiento;;;;
movimientos_inventario;codigo_producto;VARCHAR;20;FK -> productos(codigo_producto), NN;FK: producto afectado por el movimiento;;;;
movimientos_inventario;id_usuario;INT;10;FK -> usuarios(id_usuario), NN;FK: usuario responsable del movimiento;;;;
movimientos_inventario;tipo;ENUM('entrada','salida','ajuste');7;NN;Naturaleza del movimiento de stock;;;;
movimientos_inventario;cantidad;INT;10;NN;Unidades del movimiento (positivas);;;;
movimientos_inventario;observacion;VARCHAR;255;;Motivo o nota del movimiento;;;;
movimientos_inventario;fecha;DATETIME;;NN, DEFAULT CURRENT_TIMESTAMP;Fecha y hora del movimiento;;;;
productos;codigo_producto;VARCHAR;20;PK, NN;Código de barras del producto (leído con la pistola);;;;
productos;id_categoria;INT;10;FK -> categorias(id_categoria), NN;FK: categoría que clasifica el producto;;;;
productos;nombre;VARCHAR;100;NN;Nombre comercial del producto;;;;
productos;descripcion;VARCHAR;255;;Descripción opcional;;;;
productos;precio_unitario;DECIMAL;10,2;NN;Precio de venta vigente (COP);;;;
productos;stock_actual;INT;10;NN, DEFAULT 0;Unidades disponibles en este momento;;;;
productos;stock_minimo;INT;10;NN, DEFAULT 5;Umbral que dispara la alerta de stock;;;;
productos;unidad_medida;VARCHAR;20;;Unidad, kilogramo, litro, paquete...;;;;
productos;activo;TINYINT;3;NN, DEFAULT 1;1=en catálogo, 0=descontinuado;;;;
roles;id_rol;TINYINT;3;PK, NN, AI;Identificador unico del rol;;;;
roles;nombre;VARCHAR;30;UNIQUE, NN;Nombre del rol: administrador, cajero o domiciliario;;;;
sesiones_chatbot;id_sesion;INT;10;PK, NN, AI;Identificador de la sesión de chat;;;;
